Identifiant du lieu,Ann�e du tournage,Type de tournage,Titre,R�alisateur,Producteur,Localisation de la sc�ne,Code postal,Date de d�but,Date de fin,Coordonn�e en X,Coordonn�e en Y,geo_shape,geo_point_2d,,
2019-528,2019,Long m�trage,Madame Claude,Sylvie VERHEYDE,Les Compagnons du Cin�ma,rue adolphe yvon,75016,75016,21/05/2019,21/05/2019,2.27161094,48.86404196,"{""type"": ""Point"", ""coordinates"": [2.271610942737006, 48.86404195655532]}",48.8640419566,2.27161094274
2019-1449,2019,Long m�trage,PAR UN DEMI CLAIR MATIN,Bruno Dumont,3B PRODUCTIONS,place fran�ois ier,75008,75008,03/11/2019,03/11/2019,2.3076061,48.86625686,"{""type"": ""Point"", ""coordinates"": [2.307606101729049, 48.866256855294466]}",48.8662568553,2.30760610173
2018-800,2018,Long m�trage,MERVEILLES A MONTFERMEIL,Jeanne Balibar,FILM(S),rue pasteur,75011,75011,10/07/2018,10/07/2018,2.37589888,48.86236702,"{""type"": ""Point"", ""coordinates"": [2.375898877340252, 48.86236702389297]}",48.8623670239,2.37589887734
2018-1516,2018,Long m�trage,FORTE,Katia LEWKOWICZ,QUAD FILMS,41b quai de la loire,75019,75019,05/12/2018,06/12/2018,2.37902873,48.8876142,"{""type"": ""Point"", ""coordinates"": [2.379028729534671, 48.887614194350235]}",48.8876141944,2.37902872953
2018-1519,2018,Long m�trage,FORTE,Katia LEWKOWICZ,QUAD FILMS,5 avenue albert de mun,75016,75016,06/12/2018,08/12/2018,2.29147419,48.86303972,"{""type"": ""Point"", ""coordinates"": [2.29147418547214, 48.86303971716837]}",48.8630397172,2.29147418547
2018-1544,2018,Long m�trage,C'est la vie,Julien Rambaldi,RECIFILMS,1 place de breteuil,75007,75007,11/12/2018,11/12/2018,2.31224982,48.84770728,"{""type"": ""Point"", ""coordinates"": [2.312249820472198, 48.84770727879403]}",48.8477072788,2.31224982047
2018-1551,2018,Long m�trage,La nuit venue,Frederic Farrucci,Koro film,boulevard gouvion-saint-cyr,75017,75017,12/12/2018,13/12/2018,2.28735985,48.88304848,"{""type"": ""Point"", ""coordinates"": [2.28735985046238, 48.883048476557065]}",48.8830484766,2.28735985046
2018-1257,2018,Long m�trage,LA BELLE EPOQUE,NICOLAS BEDOS,LES FILMS DU KIOSQUE,voie dd/12,75012,75012,16/10/2018,17/10/2018,2.41461524,48.84663193,"{""type"": ""Point"", ""coordinates"": [2.414615243190571, 48.84663193262046]}",48.8466319326,2.41461524319
2018-1273,2018,Long m�trage,DEUX MOI,CEDRIC KLAPISCH,CE QUI ME MEUT,pont saint-louis,75004,75004,26/10/2018,26/10/2018,2.35230612,48.85266597,"{""type"": ""Point"", ""coordinates"": [2.352306123421938, 48.85266596442352]}",48.8526659644,2.35230612342
2019-235,2019,Long m�trage,UN VOYAGE EN HIVER,Claus DREXLER,MANEKI FILMS,place du pont neuf,75001,75001,12/03/2019,12/03/2019,2.3413928,48.85715911,"{""type"": ""Point"", ""coordinates"": [2.341392804487251, 48.857159108116036]}",48.8571591081,2.34139280449
2019-256,2019,Long m�trage,LE SEL DES LARMES,Philippe Garrel,RECTANGLE PRODUCTIONS,9 rue pierre bourdan,75012,75012,09/03/2019,09/03/2019,2.39150914,48.84675077,"{""type"": ""Point"", ""coordinates"": [2.391509144431109, 48.84675076435551]}",48.8467507644,2.39150914443
2019-1537,2019,Long m�trage,Tendre et saignant,Christopher Thompson,Les Films du Cap,53 rue de saintonge,75003,75003,18/11/2019,19/11/2019,2.36491118,48.86390989,"{""type"": ""Point"", ""coordinates"": [2.364911177129406, 48.8639098910761]}",48.8639098911,2.36491117713
2018-917,2018,Long m�trage,Les Mignonnes,Ma�mouna Doucour�,Bien ou bien Productions,6 rue manin,75019,75019,06/08/2018,06/08/2018,2.38535658,48.88289293,"{""type"": ""Point"", ""coordinates"": [2.385356580158362, 48.88289293236372]}",48.8828929324,2.38535658016
2019-187,2019,Long m�trage,les hommes de Namsan,Min-Ho Woo,KEYSTONE FILMS,125 rue de grenelle,75007,75007,22/02/2019,22/02/2019,2.31633352,48.8577534,"{""type"": ""Point"", ""coordinates"": [2.316333522737283, 48.85775339660481]}",48.8577533966,2.31633352274
2019-197,2019,Long m�trage,DOCTEUR ?,Tristan SEGUELA,Unit� de Production,12 rue marbeuf,75008,75008,26/02/2019,27/02/2019,2.30274582,48.86778091,"{""type"": ""Point"", ""coordinates"": [2.302745816394078, 48.86778091293231]}",48.8677809129,2.30274581639
2019-201,2019,Long m�trage,Passion Simple,Danielle Arbid,LES FILMS PELLEAS,31 rue de grenelle,75007,75007,26/02/2019,26/02/2019,2.32747723,48.85373536,"{""type"": ""Point"", ""coordinates"": [2.327477229535785, 48.85373535556345]}",48.8537353556,2.32747722954
